Rotulo;Direccion;Telefono
BP GUANARTEME;Filler;600002895
BP GUAZA;Filler;600003076
BP GUIA;Filler;600002926
BP HOFIRA;Filler;600003722
BP HOSTAL DE LA SELVA;Filler;600001662
BP HUARTE;Filler;600002715
BP HUETOR TAJAR;Filler;600001739
BP HUMANES - EL MOLINO;Filler;600002252
BP IBI;Filler;600000206
BP ILLESCAS;Filler;600003507
BP INFIESTO;Filler;600000457
BP INNUBEL - NOVELDA;Filler;600000215
BP IRUN;Filler;600001587
BP ISIDORO;Filler;600002193
BP ISLA AZUL;Filler;600002275
BP ISRECE A 44;Filler;600001801
BP J. LLAVARI SANTA COLOMA DE FARNERS;Filler;600001657
BP JINAMAR;Filler;600002943
BP JODAR;Filler;600001995
BP JORDAN;Filler;600000825
BP JOY MARBELLA;Filler;600002411
BP JUMILLA;Filler;600002531
BP JUMILLA CENTRO;Filler;600002534
BP JUNCAL;Filler;600002194
BP JUNCARIL;Filler;600001675
BP KM 13 - 1 (SAN ANDRES);Filler;600002856
BP KM 13 CRUCE ARINAGA;Filler;600002819
BP LA ALPUJARRA-UGIJAR;Filler;600001798
BP LA ARGANDENA;Filler;600002215
BP LA ATALAYA;Filler;600003068
BP LA AURORA;Filler;600003358
BP LA BAHIA;Filler;600000999
BP LA BOBILA;Filler;600000714
BP LA CALA;Filler;600002416
BP LA CHALANA;Filler;600000463
BP LA COMETA;Filler;600003421
BP LA CREUETA;Filler;600001630
BP LA CRUZ;Filler;600003844
BP LA DEHESA;Filler;600003849
BP LA ERA TABERNAS;Filler;600000363
BP LA FALUA;Filler;600002212
BP LA GARITA;Filler;600002948
BP LA GUARDIA;Filler;600003501
BP LA ISLETA;Filler;600000146
BP LA MONTERA;Filler;600000983
BP LA NUCIA;Filler;600000216
BP LA OLA MARINA;Filler;600001082
BP LA PALMERA;Filler;600003332
BP LA PATERNA;Filler;600002885
BP LA PAZ;Filler;600002580
BP LA PENITA;Filler;600002352
BP LA PENITA DE CADIZ;Filler;600000991
BP LA PRINCESA 1;Filler;600002200
BP LA PRINCESA 2;Filler;600002204
BP LA REINA CARLET;Filler;600003659
BP LA RIOLA;Filler;600001806
BP LA TORRE;Filler;600002349
BP LA VEGA DE MIJAS;Filler;600002415
BP LA VENTILLA;Filler;600002350
BP LA VICTORIA;Filler;600001026
BP LA ZENIA;Filler;600000225
BP LA ZUBIA;Filler;600001805
BP LAS CHAPAS;Filler;600002402
BP LAS COLONIAS;Filler;600002463
BP LAS HURDES;Filler;600000960
BP LAS MEDRANAS;Filler;600002414
BP LAS MORERAS;Filler;600002555
BP LAS NAVAS;Filler;600002318
BP LAS ROZAS;Filler;600002305
BP LAS SALINAS;Filler;600001028
BP LAS TERRAZAS;Filler;600002942
BP LAS TRES PROVINCIAS;Filler;600001359
BP LAS VEGAS;Filler;600001341
BP LEON - TROBAJO MD;Filler;600002073
BP LEON - TROBAJO MI;Filler;600002060
BP LINARES;Filler;600001999
BP LLUCMAJOR;Filler;600000630
BP LOMAS DE CABO ROIG;Filler;600000224
BP LOMO LOS FRAILES;Filler;600002893
BP LOS ALCAZARES;Filler;600002473
BP LOS ARCOS;Filler;600002582
BP LOS BOMBEROS;Filler;600001361
BP LOS CRISTIANOS;Filler;600003082
BP LOS PARTIDORES;Filler;600000273
BP LOS ROSALES;Filler;600001989
BP MADRID - AV DAROCA;Filler;600002279
BP MALAGA - CIUDAD JARDIN;Filler;600002396
BP MANGAUTO;Filler;600002508
BP MANZANIL;Filler;600001752
BP MARACENA;Filler;600001758
BP MARIA;Filler;600002344
BP MARINETTO CHAUCHINA;Filler;600001701
BP MATALLANA LORA DEL RIO;Filler;600003295
BP MAYORAZGO 365;Filler;600002257
BP MAZARRON CENTRO;Filler;600002554
BP MAZARRON PARK;Filler;600002557
BP MECO;Filler;600002284
BP MENCHERO VEGUE S.L.;Filler;600003523
BP MERCASANTANDER;Filler;600001090
BP MIRADOR;Filler;600001753
BP MIRAMAR BENALMADENA;Filler;600002364
BP MISAN GASOLINERA;Filler;600003276
BP MOLMAR ;Filler;600000800
BP MONCOFAR;Filler;600001153
BP MONDA;Filler;600002422
BP MONTCLAR;Filler;600000799
BP MONTECASIM MD;Filler;600001120
BP MONTEQUINTO;Filler;600003268
BP MONTEVIDA;Filler;600002602
BP MONTGAT;Filler;600000764
BP MONTIGALA;Filler;600000656
BP MONTSENY;Filler;600000805
BP MONTSERRAT  ALMERIA;Filler;600000276
BP MONTSERRAT CIRBIAN ROYO;Filler;600003422
BP MOSTOLES II;Filler;600002201
BP MOTRIL;Filler;600001768
BP MOYA;Filler;600002858
BP MOYA - EL PROVENCIO;Filler;600001544
BP MOYA - HONRUBIA;Filler;600001519
BP MUCHAMIEL;Filler;600000214
BP MUNAR CAPO;Filler;600000639
BP NASSICA 365;Filler;600002299
BP NIJAR;Filler;600000343
BP NUESTRA SENORA DE VALME;Filler;600003265
BP OGIPLATA;Filler;600001777
BP OIL;Filler;600000040
BP OIL ;Filler;600003513
BP OIL ESPANA;Filler;600000252
BP OIL ESPANA ;Filler;600000291
BP OIL ESPANA E.S.SAN GONZALO;Filler;600001996
BP OIL ESPANA S.A.;Filler;600000980
BP OIL ESPANA, S.A.U.;Filler;600000157
BP OIL GODELLA;Filler;600003696
BP OIL MARTOS;Filler;600002006
BP OJEN;Filler;600002409
BP OLABERRIA;Filler;600001600
BP OLIMPICA;Filler;600002210
BP OLIVERAL GRUPO MAICAS;Filler;600003786
BP OMEGA ESPINARDO;Filler;600002577
BP OROTIANDA;Filler;600003146
BP PAGAN;Filler;600002583
BP PALMA DEL RIO;Filler;600001373
BP PARADA LA CREU;Filler;600000706
BP PARGA I PETROL BAS BEL;Filler;600000044
BP PARQUE OPTIMA;Filler;600002301
BP PARQUE TECNOLOGICO;Filler;600003748
BP PASCUAL Y ROCA S.L.;Filler;600001167
BP PEDRO IV;Filler;600000678
BP PEGO;Filler;600000232
BP PETROBENE;Filler;600000207
BP PICASSENT;Filler;600003758
BP PINEDO;Filler;600003848
BP PINTO;Filler;600002297
BP PIZARRA;Filler;600002427
BP PLANAMAR;Filler;600000853
BP PLATJA D'ARO;Filler;600001616
BP PLAYA DE PALMA;Filler;600000631
BP PLAYA LAS AMERICAS;Filler;600003083
BP POLANCO;Filler;600001078
BP POLIGONO ALAMEDA;Filler;600002406
BP POLIGONO GUIMAR;Filler;600003074
BP POLIGONO ROMPECUBAS;Filler;600002335
BP POLVORANCA;Filler;600002253
BP PORTAL DEL VALLES DCHA.;Filler;600000762
BP PORTAL DEL VALLES IZDA.;Filler;600000763
BP POZUELO;Filler;600002302
BP PUEBLA DE SANABRIA MD;Filler;600003915
BP PUEBLA DE SANABRIA MI;Filler;600003916
BP PUENTE;Filler;600002461
BP PUENTE ARCE;Filler;600002192
BP PUERTA ANDALUCIA;Filler;600002023
BP PUERTA DEL SOL;Filler;600002037
BP PUERTO DE LA CRUZ;Filler;600003117
BP PUERTO DE LA LUZ;Filler;600002876
BP PUERTO DE SAGUNTO;Filler;600003800
BP PUERTO POLLENSA;Filler;600000632
BP PUERTO STA. MARIA;Filler;600001024
BP PULIANAS;Filler;600001792
BP RAFELBUNYOL GRUPO MAICAS;Filler;600003779
BP RECA;Filler;600000783
BP REJAS VERDES;Filler;600000122
BP RINCON DE LA VICTORIA;Filler;600002428
BP RIO CORVO;Filler;600002191
BP RIO GRANDE;Filler;600002370
BP RIO MONACHIL;Filler;600001741
BP RIO PADRON;Filler;600002385
BP RIU SEC;Filler;600001132
BP RIU TURIA;Filler;600003777
BP ROJALES;Filler;600000242
BP ROMICA;Filler;600000019
BP RONDA;Filler;600002433
BP RONDA NORTE;Filler;600001140
BP RONDA SUR;Filler;600001134
BP ROQUETAS;Filler;600000354
BP ROTA;Filler;600001033
BP RUDISA PUERTO ;Filler;600001769
BP SABADELL;Filler;600000791
BP SALAMANCA;Filler;600003039
BP SALOBRENA;Filler;600001794
BP SALT;Filler;600001653
BP SAN ANTON;Filler;600000181
BP SAN BENITO;Filler;600003132
BP SAN BLAS;Filler;600001718
BP SAN CAYETANO;Filler;600002635
BP SAN CLEMENTE;Filler;600001553
BP SAN FERNANDO;Filler;600001036
BP SAN FERNANDO - LA PRESA;Filler;600002307
BP SAN FERNANDO - M LUTHER KING;Filler;600002306
BP SAN FERNANDO PUERTA DE MADRID 365 I;Filler;600002309
BP SAN FERNANDO PUERTA DE MADRID 365 II;Filler;600002310
BP SAN JOSE;Filler;600000267
BP SAN LAZARO;Filler;600003342
BP SAN LORENZO;Filler;600002869
BP SAN MARTIN I;Filler;600002203
BP SAN MARTIN II;Filler;600002199
BP SAN PABLO;Filler;600000443
BP SAN PEDRO MD;Filler;600002259
BP SAN PEDRO MI;Filler;600002258
BP SANCHA BRAVA;Filler;600000518
BP SANDOVAL MD;Filler;600000114
BP SANDOVAL MI;Filler;600000113
BP SANLUCAR AVENIDA;Filler;600001047
BP SANT BOI;Filler;600000803
BP SANT JORDI;Filler;600000634
BP SANT PERET;Filler;600000213
BP SANTA ANA;Filler;600001608
BP SANTA BRIGIDA;Filler;600002918
BP SANTA EULALIA DE RONCANA;Filler;600000827
BP SANTA PERPETUA;Filler;600000830
BP SANTIDAD;Filler;600002840
BP SANTILLANA DE CAMPOS;Filler;600002803
BP SANTIPONCE;Filler;600003335
BP SANXENXO I;Filler;600002996
BP SANXENXO II;Filler;600002995
BP SARDINA SUR;Filler;600002923
BP SEVILLA SE30 CALONGE;Filler;600003340
BP SIAM MALL;Filler;600003070
BP SIERRA ALHAMILLA;Filler;600000278
BP SIERRA NEVADA;Filler;600001727
BP SOMOSAGUAS;Filler;600002303
BP SON GRANADA;Filler;600000622
BP SOTO I;Filler;600002319
BP SOTO II;Filler;600002320
BP SU EMINENCIA;Filler;600003348
BP SUECA;Filler;600003818
BP SUSPIRO DEL MORO;Filler;600001781
BP TACO NORTE;Filler;600003128
BP TAFALLA;Filler;600002754
BP TALVAR;Filler;600003563
BP TAMARACEITE II;Filler;600002894
BP TARAZA 365;Filler;600002254
BP TARRAGONA CITY;Filler;600003415
BP TEATINOS;Filler;600002407
BP TEGUESTE;Filler;600003182
BP TEJINA;Filler;600003143
BP TEN BEL;Filler;600003075
BP TORREJON - AV FRONTERAS;Filler;600002325
BP TORREJON - CTRA LOECHES;Filler;600002322
BP TORREMONTIJO;Filler;600002558
BP TORRENTE;Filler;600003823
BP TORROX;Filler;600002443
BP TRES CANTOS;Filler;600002329
BP TREVOL;Filler;600000835
BP TRUCKSTOP AGUILAS;Filler;600002467
BP TRUYOLS;Filler;600000693
BP UNIVERSIDAD;Filler;600002408
BP URBISUR;Filler;600001002
BP VALDAVIA;Filler;600002197
BP VALDEMORO;Filler;600002332
BP VALDERAS;Filler;600002206
BP VALDONAIRE ;Filler;600002249
BP VALL D'UXO;Filler;600001181
BP VALLDIGNA;Filler;600003819
BP VALLESECO;Filler;600002958
BP VEGA DEL REY;Filler;600003234
BP VEGA JUNCAL;Filler;600003684
BP VEHICLES;Filler;600001142
BP VENTA DEL PERAL I;Filler;600001710
BP VENTA DEL POBRE;Filler;600000342
BP VIA FAVENCIA;Filler;600000674
BP VIA NORTE;Filler;600000906
BP VIAPARK;Filler;600000377
BP VIATOR;Filler;600000373
BP VICAR;Filler;600000381
BP VILADECANS;Filler;600000845
BP VILANOVA - AV BALMES;Filler;600000851
BP VILANOVA - AV EDUARDO TOLDRA;Filler;600000852
BP VILLAHERREROS;Filler;600002807
BP VILLALBILLA;Filler;600002340
BP VILLAMANTA;Filler;600002341
BP VILLANUEVA;Filler;600003669
BP VILLANUEVA MALAGA;Filler;600002399
BP VILLAREAL;Filler;600001187
BP VILLARROBLEDO;Filler;600000097
BP VILLAVA;Filler;600002770
BP VISTAHERMOSA ;Filler;600000119
BP XIRAU;Filler;600000251
BP ZONA DE SERVICOS EL MOLINO;Filler;600001703
BP-PAR 72;Filler;600001812
BQP FUEL;Filler;600001364
BRAVOIL ;Filler;600003199
BRIGHT SERVICE;Filler;600000817
BRIO CARBURANTES;Filler;600003552
BRIOGAS;Filler;600000170
BRISA CENTRO DE LAVADO SL;Filler;600001280
BTP;Filler;600001835
BUENOS AIRES;Filler;600002516
BUGA 2000;Filler;600000616
BUHO GAS;Filler;600001110
BULL;Filler;600001511
BUQUERIN;Filler;600003189
BURAN ENERGY;Filler;600003686
BURBUJAS;Filler;600000508
"BV-CARBURANTES     "" % DTO """;Filler;600000902
BY ENERGY;Filler;600000734
BYE;Filler;600003005
BZ ALBORAYA;Filler;600003613
BZ ESTACION DE SERVICIO;Filler;600003745
C CARBURANTS;Filler;600003761
C. ORTIZ;Filler;600003567
C.C ALCAMPO;Filler;600001510
C.CERRO/E.S. QUINTO P.;Filler;600000591
C.P.G. LA MARINA;Filler;600002468
C.T. DE SAN VICENTE DE ALCANTARA;Filler;600000585
C.T. GUIJUELO;Filler;600003052
C2I;Filler;600003275
CAB;Filler;600002304
CABASC, S.C.A.;Filler;600000287
CABEZA DEL CONDE;Filler;600003509
CABEZO GAS;Filler;600002592
CABEZO VENTURA;Filler;600002514
CACENCA;Filler;600000716
CAIVA;Filler;600003368
CAJILON;Filler;600001311
CALATORAO ES;Filler;600003962
CALPE AUTOMOCION;Filler;600000162
CALPE AUTOMOCION II;Filler;600000160
CALSINA CARRE;Filler;600001647
CAMPA;Filler;600002178
CAMPA COOPERATIVA BETXI;Filler;600001122
CAMPAREZ;Filler;600000074
CAMPELLO - GOTETA II;Filler;600000166
CAMPER;Filler;600002485
CAMPIEZO -AVIA;Filler;600001093
CAMPINA SUR;Filler;600000547
CAMPO;Filler;600003418
CAMPO DA CRUZ;Filler;600002162
CAMPO DE ROTA, S.C.A.;Filler;600001034
CAMPO DE USED;Filler;600004019
CAMPO ROQUETAS;Filler;600000375
CAMPOADRA;Filler;600000265
CAMPOAGRO OLIVARERA;Filler;600001756
CAMPOASTUR;Filler;600000420
CAMPODEZA, S.C.G.;Filler;600002975
CAMPOENGUERA COOP V;Filler;600003685
CAMPSA;Filler;600000047
CAMPSA EXPRESS;Filler;600000235
CAN CALDERON - CLAUS  (GNC);Filler;600000801
CAN S.L.;Filler;600002659
CANARAFLOR ;Filler;600002519
CANARY OIL;Filler;600002811
CANARY OIL, S.L.;Filler;600002841
CANDO;Filler;600002161
CANETE;Filler;600001496
CANGES DEL HOYO;Filler;600003360
CANOIL;Filler;600000077
CANSO CARBUANTES BENIMODO;Filler;600003648
CANSO+CARBURANTS;Filler;600003616
CAPI;Filler;600003272
CAPITRANS;Filler;600002564
CAPSA;Filler;600004005
CAR OIL;Filler;600001487
CARAMANZANA MARKETING Y MEDIO AMBIENTE, S.L.;Filler;600003913
CARBA;Filler;600001693
CARBES;Filler;600000408
CARBUCRIAL;Filler;600002054
CARBUGAL;Filler;600002230
CARBUGAL A GRELA;Filler;600001440
CARBUGAL ALVEDRO;Filler;600001443
CARBUGAL CARBALLO;Filler;600001429
CARBUGAL CEE;Filler;600001433
CARBUGAL COLISEUM;Filler;600001439
CARBUGAL CORTINAN;Filler;600001414
CARBUGAL LARAXE;Filler;600001423
CARBUGAL MEICENDE;Filler;600001412
CARBUGAL SABON;Filler;600001411
CARBUGAL SANTIAGO;Filler;600001478
CARBUNOR;Filler;600003512
CARBURANTES A92;Filler;600001715
CARBURANTES ALMANZORA SL;Filler;600000271
CARBURANTES ANOVER;Filler;600003466
CARBURANTES ARGES, S.L.;Filler;600003469
CARBURANTES AVICAN;Filler;600003245
CARBURANTES BLUE;Filler;600001262
CARBURANTES BOLANOS S.L.;Filler;600001217
CARBURANTES CAMPO ARANUELO S.L.;Filler;600000957
CARBURANTES CLAVERO - SAN SEBASTIAN;Filler;600002447
CARBURANTES COOLOSAR;Filler;600000941
CARBURANTES COOPERATIVOS;Filler;600001152
CARBURANTES DE CANTORIA;Filler;600000289
CARBURANTES DE ESPANA;Filler;600003936
CARBURANTES DE ESPANA LERMA;Filler;600000903
CARBURANTES GB;Filler;600000531
CARBURANTES IBIZA, S.L.;Filler;600000618
CARBURANTES LA ESTRELLA;Filler;600000590
CARBURANTES LOS SENORITOS SL;Filler;600001273
CARBURANTES MUNOZ PORRAS;Filler;600001558
CARBURANTES NONASPE, SL;Filler;600004001
CARBURANTES PANIVERDE SL;Filler;600001283
CARBURANTES PORTO DE VILANOVA;Filler;600004065
CARBURANTES PREMIUM;Filler;600001331
CARBURANTES REQUES ;Filler;600002236
CARBURANTES RIOJA;Filler;600003029
CARBURANTES SAGUNTO;Filler;600003799
CARBURANTES VALTIERRA S.L.;Filler;600002767
CARBURANTES Y SERVICIOS AYORA SL;Filler;600003639
CARBURANTS DEL CAMP DE LLUTXENT;Filler;600003707
CARBURANTS DEL MONTSIA;Filler;600004072
CARBURANTS LOW COST;Filler;600000624
CARBURANTS SANT ISCLE;Filler;600000812
CARBURANTS TOSSES;Filler;600003391
CARBURANTS TOSSES ;Filler;600003407
CARCAR;Filler;600002681
CARCEDOIL;Filler;600000899
CARCELLER ROYO S.L.;Filler;600001113
CARISEL S.L;Filler;600003037
CARLA;Filler;600001155
CARLOS DIEZ SEGOVIA;Filler;600003193
CARMINA LOW COST;Filler;600003021
CARREFOUR;Filler;600000018
CARRREFOUR;Filler;600003845
CARTAYFRES;Filler;600001843
CARTRANS;Filler;600002503
CASAMITJANA NONELL;Filler;600000782
CASAT;Filler;600000534
"CASI "" COOPERATIVA AGRICOLA """;Filler;600000347
CASILLAS DE COMBUSTIBLES SL;Filler;600002595
CASINTRA GRUPO;Filler;600000466
CASTELL XIVERT;Filler;600001102
CASTELL-OIL;Filler;600002110
CASTIJORGE S. COOP. DE C-LM;Filler;600001507
CASTILLO DE MONTIEL;Filler;600001255
CASTILLO DE SABIOTE;Filler;600002021
CASTRIL;Filler;600001699
CASTROIL;Filler;600002337
CASTRONALON;Filler;600000439
CATERRA;Filler;600003404
CATOA;Filler;600000453
CAXIGO S COOP GALEGA;Filler;600002177
CBT CARBOTRANS S.COOP.AND;Filler;600000292
CC OIL;Filler;600001467
CCOOPERATIVA DE ALPUENTE;Filler;600003633
CDT;Filler;600002245
CECATRANS TRANSPORT & LOGISTICS, S.L;Filler;600003393
CEDYC;Filler;600002068
CEEOIL;Filler;600001117
CENTRE ENERGIA MARESME;Filler;600000755
CENTRE LA ALQUERIA;Filler;600003727
CENTRE LA VEREDA;Filler;600003653
CENTRO DE LA VEGA;Filler;600001282
CENTRO DE LAVADO LA ZORRERA SL;Filler;600001005
CENTRO DE SERVICIOS AGRICOLAS, S.A.;Filler;600001897
CENTRO DIESEL COMBUSTIBLES MURCIANOS;Filler;600002471
CENTRO SUR;Filler;600001735
CENTROLID;Filler;600003904
CEPSA;Filler;600000013
CEPSA ;Filler;600000200
CEPSA - AGROJARA, SCA;Filler;600003306
CEPSA  E.S. TORRECABALLEROS (LLORSOIL);Filler;600003202
CEPSA  E.S. VALVERDE (LLORSOIL);Filler;600003204
CEPSA - FIERROIL;Filler;600000605
CEPSA - LOS FILABRES SCA;Filler;600000360
CEPSA - SAN ANDRES;Filler;600002029
CEPSA . LOHANA;Filler;600003511
CEPSA A4 PINTO 365;Filler;600002298
CEPSA AGAETE;Filler;600002809
CEPSA AGUA GARCIA;Filler;600003179
CEPSA ALMERIMAR;Filler;600000302
CEPSA- ANTELA E.S.;Filler;600002792
CEPSA ANTIGUA;Filler;600002822
CEPSA BALSICAS;Filler;600002632
CEPSA CALONGE;Filler;600003351
CEPSA CIUDAD DEL AUTOMOVIL 365;Filler;600002255
CEPSA COSTA DEL SILENCIO;Filler;600003084
CEPSA EL CUBILLO;Filler;600002935
CEPSA ELF;Filler;600000134
CEPSA ESPANA S.A.;Filler;600000136
CEPSA ETXEGARATE;Filler;600001584
CEPSA GLTA.EL CID;Filler;600003341
CEPSA GRAN TARAJAL;Filler;600002956
CEPSA HOYA PARRADO;Filler;600002881
CEPSA ICOD DE LOS VINOS;Filler;600003106
CEPSA INGENIO;Filler;600002846
CEPSA LA AZADILLA;Filler;600003124
CEPSA LA CAZUELA;Filler;600002870
CEPSA LA GALIA;Filler;600000185
CEPSA LA MARINA;Filler;600002866
CEPSA LA TORRE;Filler;600003575
CEPSA LAS ARENAS 365;Filler;600002300
CEPSA LAS TORRES (TEXACO);Filler;600002891
CEPSA LEO;Filler;600000569
CEPSA LLANO AZUL;Filler;600003080
CEPSA LOS ALMENDROS;Filler;600002959
CEPSA LOS ANDENES;Filler;600003129
CEPSA LOS LLANOS - GRANADILLA;Filler;600003093
CEPSA LOS PORTALES (TEXACO);Filler;600002839
CEPSA LOS RAMOS;Filler;600002604
CEPSA MASPALOMAS;Filler;600002917
CEPSA MUELLE GRANDE;Filler;600002873
CEPSA OPER CANARIOS  S,L.;Filler;600002816
CEPSA OPER CANARIOS S,L.;Filler;600002932
CEPSA PLAZA DEL PINO;Filler;600002879
CEPSA PUERTO ROSARIO;Filler;600002908
CEPSA PUERTOLLANO;Filler;600001263
CEPSA RELAMPAGO;Filler;600002283
CEPSA RUS ;Filler;600001427
CEPSA SAN FERNANDO 365;Filler;600002308
CEPSA SIETE PALMAS;Filler;600002887
CEPSA TAHICHE I;Filler;600002928
CEPSA TAHICHE II;Filler;600002929
CEPSA TAXISTAS S.AGUSTIN;Filler;600002912
CEPSA TINAJO;Filler;600002954
CEPSA V21;Filler;600002784
CEPSA VALLECAS-LA ATALAYUELA 365;Filler;600002261
CEPSA VILANOVA;Filler;600003012
CEPSA-ARROCEROS B.G.;Filler;600003324
CEPSA-COOP. SAN DIONISIO;Filler;600001008
CEPSA-E.S. ROCA;Filler;600002157
CEPSA-E.S.JAIME I;Filler;600001902
CEPSA-ELF;Filler;600003930
CEPSA-GARCIBUR;Filler;600001125
CEPSA-JUBERA;Filler;600003036
CEPSA-LA DEHESA S.C.A.;Filler;600003260
CEPSA-TARAY;Filler;600001300
CEREALES TERUEL;Filler;600003426
CEREALES TERUEL ;Filler;600003434
CEREALES TERUEL S.COOP.;Filler;600003442
CEREALES TORREMORELL;Filler;600002094
CEREALISTA DE CASEDA, S. COOP;Filler;600002687
CEREALISTAS DE ACINIPO, S.C.A;Filler;600002435
CERQUEDA SL;Filler;600001450
CERVIA OIL;Filler;600001618
CETANOIL;Filler;600001424
CETILE CARBURANTES;Filler;600002057
CETRAMESA CARBURANTES;Filler;600003056
CH;Filler;600001857
CH2M;Filler;600001269
CHAMPINTER;Filler;600000092
CHEAPOIL;Filler;600002217
CHEMABALLESTER;Filler;600003785
CHESTE AGRARIA;Filler;600003673
CHESTE AGRARIA COOP.V.;Filler;600003674
CHM;Filler;600001292
CHT;Filler;600001740
CHURRIANA DE LA VEGA;Filler;600001702
CITRASOR, SCA;Filler;600000361
CIUDAD DEL CARMEN S.C.A.;Filler;600001883
CIUDAD DEL TAXI;Filler;600000275
CIUDAD EJIDO,S.L;Filler;600000306
CIVERA;Filler;600003451
CKM;Filler;600002968
CLAY;Filler;600002625
CLC;Filler;600000990
CLC CALIDAD LOW COST;Filler;600000972
CLUB NAUTIC ESTARTIT;Filler;600004057
CLUB NAUTIC L'ESCALA;Filler;600004053
CLUB NAUTIC SANT FELIU DE GUIXOLS;Filler;600004056
CLUB NAUTICO DE OROPESA;Filler;600004048
CLUB NAUTICO LA RAPITA;Filler;600004041
CLUB VELA BLANES;Filler;600004051
CLUN;Filler;600001409
CLUN-MERCARURAL;Filler;600002180
CN;Filler;600002977
CNJ;Filler;600001013
COABA;Filler;600000035
COADUERO;Filler;600003893
COAFOR ;Filler;600002974
COAGAL;Filler;600003632
COAGCOR A.I.E;Filler;600000533
COAGRI;Filler;600003627
COALFA;Filler;600004006
COALTRANS  SDAD COOP;Filler;600000400
COALTRANS S COOP AND;Filler;600000333
COAMOR;Filler;600002570
COATO;Filler;600002638
COBASA;Filler;600000834
COBASGUAR ;Filler;600002801
COBELEN;Filler;600003316
COBELLA;Filler;600001862
COBIDEZA;Filler;600002976
COBUCO;Filler;600002486
COCAVICA;Filler;600003034
COCEFOR;Filler;600000411
COCOCEA;Filler;600003877
COCOPE S.COOP;Filler;600003869
COCOPE S.COOP.;Filler;600003874
COCOPE, S. COOP.;Filler;600003886
CODES;Filler;600001039
CODISAL;Filler;600001060
CODO_CM;Filler;600002005
COENCA;Filler;600003239
COESAGRO,S.C.A.;Filler;600003271
COFRADIA;Filler;600004039
COFRADIA DE PESCADORES;Filler;600000159
COFRADIA DE PESCADORES DE CALPE;Filler;600004034
COFRADIA DE PESCADORS DE VILANOVA I LA GELTRU;Filler;600004044
COHORSAN SCA;Filler;600000325
COINTRANS;Filler;600001525
COLOSO;Filler;600001878
COMATRA;Filler;600001224
COMB.QUINTANA QUINTANA;Filler;600001757
COMBUS;Filler;600002198
COMBUS [B];Filler;600002185
COMBUSCAN;Filler;600001097
COMBUSELLA;Filler;600000230
COMBUSTIBLES  MONEGROS, S.L.;Filler;600001933
COMBUSTIBLES CALAHORRA S.L.;Filler;600003025
COMBUSTIBLES CANARIOS;Filler;600002962
COMBUSTIBLES CRIPTANA,SL;Filler;600001223
COMBUSTIBLES DISPROSIO S.L.;Filler;600000095
COMBUSTIBLES FIEL, S.L.;Filler;600000098
COMBUSTIBLES GOMEZ;Filler;600001736
COMBUSTIBLES HUERTA;Filler;600003504
COMBUSTIBLES LA LITERA;Filler;600001934
COMBUSTIBLES LA MURADA;Filler;600000223
COMBUSTIBLES LA MURADA,S.L.;Filler;600000222
COMBUSTIBLES MONEGROS S.L;Filler;600001938
COMBUSTIBLES PIUDO;Filler;600002682
COMBUSTIBLES PUERTO DE CANGAS;Filler;600004062
COMBUSTIBLES RIO EUME;Filler;600001466
COMBUSTIBLES VILLAFRANCA;Filler;600002769
COMBUSTIBLES VILLAMANRIQUE;Filler;600003365
COMBUSTIBLES Y LAVADO LOS PALACIOS;Filler;600003311
COMBUSTIBLES Y LUBRICANTES LA NICOBA, S.L.;Filler;600001855
COMERCIAL SAMA;Filler;600002276
COMOSUREX;Filler;600000568
COMOTRANS;Filler;600001767
COMPOSTRA OIL;Filler;600002069
CONDIS;Filler;600000760
CONFORT AUTO;Filler;600000126
CONSUMOMAR;Filler;600000380
CONSUMOMAR S.C.A.;Filler;600000355
COOP AGRICOLA DE BOT;Filler;600003394
COOP AGRICOLA LANTEJUELA;Filler;600003288
COOP ALBATARREC;Filler;600002088
COOP BELLCAIRE;Filler;600002102
COOP BORJA;Filler;600003954
COOP COCOL;Filler;600003884
COOP EL PORVENIR;Filler;600003626
COOP EZKIBEL;Filler;600002650
COOP GALLOCANTA;Filler;600003981
COOP LA VINA;Filler;600003689
COOP LATARCE;Filler;600003889
COOP LOS SANTOS MARTIRES;Filler;600003023
COOP MONTALBANEJO;Filler;600001533
COOP NTRA SRA PENARROYA;Filler;600001211
COOP ODON;Filler;600003446
COOP SAN AGUSTIN;Filler;600003956
COOP SAN GREGORIO;Filler;600000067
COOP SAN JOSE;Filler;600004010
COOP SAN JOSE - ARENTO;Filler;600004009
COOP SIERRA DE LUNA;Filler;600004013
COOP SILLA;Filler;600003808
COOP.  LAS ONTINAS;Filler;600001926
COOP. AGRARIA SAN ISIDRO DE VALL D'ALBA, COOP.V.;Filler;600001176
COOP. AGRICOLA LA AURORA, S.C.A.;Filler;600001366
COOP. AGRICOLA NTRA. MADRE DEL SOL (DCOOP);Filler;600001303
COOP. AGRICOLA SANT BARTOMEU DE VILANOVA D'ALCOLEA;Filler;600001184
COOP. AGRICOLA SANT ISIDRE;Filler;600003402
COOP. AMARTAJO;Filler;600003521
COOP. ARLANZA;Filler;600000915
COOP. CAMPO S. ISIDRO;Filler;600001893
COOP. CODONERA;Filler;600003440
COOP. CRISTO DE LA PALMA;Filler;600003571
COOP. DE CASTELLAR DE SANTIAGO DE 2  GRADO DE C-LM;Filler;600001229
