Provincia;Municipio;Localidad
BADAJOZ;TALARRUBIAS;TALARRUBIAS
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL
BADAJOZ;TORRE DE MIGUEL SESMERO;TORRE DE MIGUEL SESMERO
BADAJOZ;TORREMEJIA;TORREMEJIA
BADAJOZ;USAGRE;USAGRE
BADAJOZ;VALDECABALLEROS;VALDECABALLEROS
BADAJOZ;VALDELACALZADA;VALDELACALZADA
BADAJOZ;VALENCIA DE LAS TORRES;VALENCIA DE LAS TORRES
BADAJOZ;VALENCIA DEL MOMBUEY;VALENCIA MOMBUEY
BADAJOZ;VALENCIA DEL VENTOSO;VALENCIA DEL VENTOSO
BADAJOZ;VALLE DE LA SERENA;VALLE DE LA SERENA
BADAJOZ;VALVERDE DE MERIDA;VALVERDE DE MERIDA
BADAJOZ;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS
BADAJOZ;VILLAGONZALO;VILLAGONZALO
BADAJOZ;VILLALBA DE LOS BARROS;VILLALBA DE LOS BARROS
BADAJOZ;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA
BADAJOZ;VILLANUEVA DE LA SERENA;VALDIVIA
BADAJOZ;VILLANUEVA DE LA SERENA;ZURBARAN
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO
BADAJOZ;VILLAR DE RENA;PALAZUELO
BADAJOZ;VILLAR DE RENA;PUEBLA DE ALCOLLARIN
BADAJOZ;VILLAR DEL REY;VILLAR DEL REY
BADAJOZ;ZAFRA;ZAFRA
BADAJOZ;ZAHINOS;ZAHINOS
BADAJOZ;ZALAMEA DE LA SERENA;ZALAMEA DE LA SERENA
BADAJOZ;ZARZA (LA);ZARZA (LA)
BALEARS (ILLES);ALAIOR;ALAIOR
BALEARS (ILLES);ALARO;ALARO
BALEARS (ILLES);ALCUDIA;ALCUDIA
BALEARS (ILLES);ALCUDIA;PORT D'ALCUDIA
BALEARS (ILLES);ALCUDIA;PLATJA D'ALCUDIA
BALEARS (ILLES);ALGAIDA;ALGAIDA
BALEARS (ILLES);ANDRATX;ANDRATX
BALEARS (ILLES);ANDRATX;PORT D'ANDRATX
BALEARS (ILLES);ARTA;ARTA
BALEARS (ILLES);BINISSALEM;BINISSALEM
BALEARS (ILLES);BUNYOLA;BUNYOLA
BALEARS (ILLES);CALVIA;CALVIA
BALEARS (ILLES);CALVIA;PALMANOVA
BALEARS (ILLES);CALVIA;PORRASSA (SA)
BALEARS (ILLES);CALVIA;COSTA DE LA CALMA
BALEARS (ILLES);CALVIA;SANTA PONCA
BALEARS (ILLES);CAMPANET;CAMPANET
BALEARS (ILLES);CAMPOS;CAMPOS
BALEARS (ILLES);CAPDEPERA;CAPDEPERA
BALEARS (ILLES);CIUTADELLA DE MENORCA;CIUTADELLA DE MENORCA
BALEARS (ILLES);EIVISSA;EIVISSA
BALEARS (ILLES);ESCORCA;ESCORCA
BALEARS (ILLES);ESPORLES;ESPORLES
BALEARS (ILLES);FELANITX;FELANITX
BALEARS (ILLES);FELANITX;PORTOCOLOM
BALEARS (ILLES);FERRERIES;FERRERIES
BALEARS (ILLES);FORMENTERA;SANT FRANCESC FORMENTERA
BALEARS (ILLES);INCA;INCA
BALEARS (ILLES);LLOSETA;LLOSETA
BALEARS (ILLES);LLUBI;LLUBI
BALEARS (ILLES);LLUCMAJOR;LLUCMAJOR
BALEARS (ILLES);LLUCMAJOR;ARENAL (S')
BALEARS (ILLES);LLUCMAJOR;PALMERES (LES)
BALEARS (ILLES);MAHON;MAO
BALEARS (ILLES);MANACOR;MANACOR
BALEARS (ILLES);MANACOR;PORTO CRISTO
BALEARS (ILLES);MARRATXI;CABANETA (SA)
BALEARS (ILLES);MARRATXI;MARRATXINET
BALEARS (ILLES);MERCADAL (ES);MERCADAL (ES)
BALEARS (ILLES);MONTUIRI;MONTUIRI
BALEARS (ILLES);MURO;MURO
BALEARS (ILLES);MURO;PLATJA DE MURO
BALEARS (ILLES);PALMA DE MALLORCA;PALMA
BALEARS (ILLES);PALMA DE MALLORCA;CAN PASTILLA
BALEARS (ILLES);PALMA DE MALLORCA;PLATJA DE PALMA
BALEARS (ILLES);PALMA DE MALLORCA;SON SANT JOAN
BALEARS (ILLES);PALMA DE MALLORCA;CASA BLANCA (SA)
BALEARS (ILLES);PALMA DE MALLORCA;ARANJASSA (S')
BALEARS (ILLES);PETRA;PETRA
BALEARS (ILLES);POBLA (SA);POBLA (SA)
BALEARS (ILLES);POLLENCA;POLLENCA
BALEARS (ILLES);PORRERES;PORRERES
BALEARS (ILLES);SALINES (SES);SALINES (SES)
BALEARS (ILLES);SALINES (SES);COLONIA DE SANT JORDI
BALEARS (ILLES);SANT ANTONI DE PORTMANY;SANT ANTONI DE PORTMANY
BALEARS (ILLES);SANT ANTONI DE PORTMANY;SANT RAFEL
BALEARS (ILLES);SANT JOAN;SANT JOAN
BALEARS (ILLES);SANT JOAN DE LABRITJA;SANT JOAN DE LABRITJA
BALEARS (ILLES);SANT JOSEP DE SA TALAIA;SANT JOSEP DE SA TALAIA
BALEARS (ILLES);SANT LLORENC DES CARDASSAR;SANT LLORENC DES CARDASSAR
BALEARS (ILLES);SANT LLORENC DES CARDASSAR;SON MORO
BALEARS (ILLES);SANT LLUIS;SANT LLUIS
BALEARS (ILLES);SANTA EUGENIA;SANTA EUGENIA
BALEARS (ILLES);SANTA EULALIA DEL RIO;SANTA EULALIA
BALEARS (ILLES);SANTA EULALIA DEL RIO;SANTA GERTRUDIS
BALEARS (ILLES);SANTA MARGALIDA;CA'N PICAFORT
BALEARS (ILLES);SANTA MARIA DEL CAMI;SANTA MARIA DEL CAMI
BALEARS (ILLES);SANTANYI;SANTANYI
BALEARS (ILLES);SANTANYI;CALA D'OR
BALEARS (ILLES);SENCELLES;SENCELLES
BALEARS (ILLES);SINEU;SINEU
BALEARS (ILLES);SOLLER;SOLLER
BALEARS (ILLES);SON SERVERA;SON SERVERA
BALEARS (ILLES);VALLDEMOSSA;VALLDEMOSSA
BALEARS (ILLES);VILAFRANCA DE BONANY;VILAFRANCA DE BONANY
BARCELONA;ABRERA;ABRERA
BARCELONA;ABRERA;ENTITAT EST D'ABRERA
BARCELONA;ALELLA;ALELLA
BARCELONA;AMETLLA DEL VALLES (L');AMETLLA DEL VALLES (L')
BARCELONA;AMETLLA DEL VALLES (L');SERRAT DE L'OCATA
BARCELONA;ARENYS DE MAR;ARENYS DE MAR
BARCELONA;ARENYS DE MUNT;ARENYS DE MUNT
BARCELONA;ARGENTONA;ARGENTONA
BARCELONA;ARTES;ARTES
BARCELONA;AVINYO;AVINYO
BARCELONA;BADALONA;BADALONA
BARCELONA;BADIA DEL VALLES;BADIA DEL VALLES
BARCELONA;BALSARENY;BALSARENY
BARCELONA;BARBERA DEL VALLES;BARBERA DEL VALLES
BARCELONA;BARCELONA;BARCELONA
BARCELONA;BEGUES;BEGUES
BARCELONA;BERGA;BERGA
BARCELONA;BIGUES I RIELLS;RIERAL DE BIGUES
BARCELONA;BRUC (EL);BRUC (EL)
BARCELONA;CABRERA DE MAR;CABRERA DE MAR
BARCELONA;CABRILS;CABRILS
BARCELONA;CALAF;CALAF
BARCELONA;CALDES DE MONTBUI;CALDES DE MONTBUI
BARCELONA;CALELLA;CALELLA
BARCELONA;CALLDETENES;CALLDETENES
BARCELONA;CANET DE MAR;CANET DE MAR
BARCELONA;CANOVELLES;CANOVELLES
BARCELONA;CANYELLES;CANYELLES
BARCELONA;CARDEDEU;CARDEDEU
BARCELONA;CARDONA;CARDONA
BARCELONA;CASTELLAR DEL VALLES;CASTELLAR DEL VALLES
BARCELONA;CASTELLAR DEL VALLES;AIRESOL
BARCELONA;CASTELLBELL I EL VILAR;CASTELLBELL I EL VILAR
BARCELONA;CASTELLBISBAL;CASTELLBISBAL
BARCELONA;CASTELLBISBAL;AREA INDUSTRIAL DEL LLOBREGAT
BARCELONA;CASTELLBISBAL;POLIGON IND. SANT VICENC
BARCELONA;CASTELLDEFELS;CASTELLDEFELS
BARCELONA;CASTELLET I LA GORNAL;CASTELLET I LA GORNAL
BARCELONA;CASTELLTERCOL;CASTELLTERCOL
BARCELONA;CENTELLES;CENTELLES
BARCELONA;CERCS;CERCS
BARCELONA;CERDANYOLA DEL VALLES;CERDANYOLA DEL VALLES
BARCELONA;CERVELLO;CERVELLO
BARCELONA;COLLBATO;COLLBATO
BARCELONA;CORNELLA DE LLOBREGAT;CORNELLA DE LLOBREGAT
BARCELONA;CUBELLES;CUBELLES
BARCELONA;ESPARREGUERA;ESPARREGUERA
BARCELONA;ESPLUGUES DE LLOBREGAT;ESPLUGUES DE LLOBREGAT
BARCELONA;FOGARS DE LA SELVA;FOGARS DE LA SELVA
BARCELONA;FRANQUESES DEL VALLES (LES);FRANQUESES DEL VALLES (LES)
BARCELONA;FRANQUESES DEL VALLES (LES);BELLAVISTA
BARCELONA;GARRIGA (LA);GARRIGA (LA)
BARCELONA;GAVA;GAVA
BARCELONA;GELIDA;GELIDA
BARCELONA;GIRONELLA;GIRONELLA
BARCELONA;GRANADA (LA);GRANADA (LA)
BARCELONA;GRANOLLERS;GRANOLLERS
BARCELONA;GUALBA;GUALBA DE BAIX
BARCELONA;GUARDIOLA DE BERGUEDA;GUARDIOLA DE BERGUEDA
BARCELONA;GURB;GURB
BARCELONA;HOSPITALET DE LLOBREGAT (L');HOSPITALET DE LLOBREGAT (L')
BARCELONA;IGUALADA;IGUALADA
BARCELONA;JORBA;JORBA
BARCELONA;LLAGOSTA (LA);LLAGOSTA (LA)
BARCELONA;LLICA D'AMUNT;LLICA D'AMUNT
BARCELONA;LLICA DE VALL;LLICA DE VALL
BARCELONA;LLINARS DEL VALLES;LLINARS DEL VALLES
BARCELONA;MALGRAT DE MAR;MALGRAT DE MAR
BARCELONA;MALLA;MALLA
BARCELONA;MANLLEU;MANLLEU
BARCELONA;MANRESA;MANRESA
BARCELONA;MARTORELL;MARTORELL
BARCELONA;MASIES DE VOLTREGA (LES);MASIES DE VOLTREGA (LES)
BARCELONA;MASNOU (EL);MASNOU (EL)
BARCELONA;MASQUEFA;MASQUEFA
BARCELONA;MATARO;MATARO
BARCELONA;MOIA;MOIA
BARCELONA;MOLINS DE REI;MOLINS DE REI
BARCELONA;MOLLET DEL VALLES;MOLLET DEL VALLES
BARCELONA;MONISTROL DE MONTSERRAT;MONISTROL DE MONTSERRAT
BARCELONA;MONTCADA I REIXAC;MONTCADA CENTRE
BARCELONA;MONTCADA I REIXAC;CAN CUIAS
BARCELONA;MONTGAT;MONTGAT
BARCELONA;MONTMANEU;MONTMANEU
BARCELONA;MONTMELO;MONTMELO
BARCELONA;MONTORNES DEL VALLES;MONTORNES CENTRE
BARCELONA;MONTORNES DEL VALLES;MONTORNES NORD
BARCELONA;MONTSENY;MONTSENY
BARCELONA;NAVARCLES;NAVARCLES
BARCELONA;NAVAS;NAVAS
BARCELONA;ODENA;ODENA
BARCELONA;OLERDOLA;OLERDOLA
BARCELONA;OLERDOLA;SANT PERE MOLANTA
BARCELONA;OLESA DE MONTSERRAT;OLESA DE MONTSERRAT
BARCELONA;OLOST;OLOST
BARCELONA;PACS DEL PENEDES;PACS DEL PENEDES
BARCELONA;PALAFOLLS;PALAFOLLS
BARCELONA;PALAFOLLS;SANT GENIS DE PALAFOLLS
BARCELONA;PALAU-SOLITA I PLEGAMANS;PALAU-SOLITA I PLEGAMANS
BARCELONA;PALAU-SOLITA I PLEGAMANS;POLIGON INDUSTRIAL RIERA DE CALDES
BARCELONA;PALLEJA;PALLEJA
BARCELONA;PALMA DE CERVELLO (LA);PALMA DE CERVELLO
BARCELONA;PAPIOL (EL);PAPIOL (EL)
BARCELONA;PARETS DEL VALLES;PARETS DEL VALLES
BARCELONA;PIERA;PIERA
BARCELONA;PINEDA DE MAR;PINEDA DE MAR
BARCELONA;PLA DEL PENEDES (EL);PLA DEL PENEDES (EL)
BARCELONA;POBLA DE CLARAMUNT (LA);POBLA DE CLARAMUNT (LA)
BARCELONA;POBLA DE LILLET (LA);POBLA DE LILLET (LA)
BARCELONA;POLINYA;POLINYA
BARCELONA;PONT DE VILOMARA I ROCAFORT (EL);PONT VILOMARA I ROCAFORT
BARCELONA;PRAT DE LLOBREGAT (EL);PRAT DE LLOBREGAT (EL)
BARCELONA;PRATS DE LLUCANES;PRATS DE LLUCANES
BARCELONA;PREMIA DE DALT;PUIG DE PEDRA-SOT DEL PI
BARCELONA;PREMIA DE MAR;PREMIA DE MAR
BARCELONA;PUIG-REIG;PUIG-REIG
BARCELONA;PUIG-REIG;COLONIA VIDAL
BARCELONA;RIPOLLET;RIPOLLET
BARCELONA;ROCA DEL VALLES (LA);ROCA DEL VALLES (LA)
BARCELONA;ROCA DEL VALLES (LA);SANTA AGNES DE MALANYANES
BARCELONA;RODA DE TER;RODA DE TER
BARCELONA;RUBI;RUBI
BARCELONA;SABADELL;SABADELL
BARCELONA;SALDES;SALDES
BARCELONA;SALLENT;SALLENT
BARCELONA;SALLENT;CABRIANES
BARCELONA;SANT ADRIA DE BESOS;SANT ADRIA DE BESOS
BARCELONA;SANT ANDREU DE LA BARCA;SANT ANDREU DE LA BARCA
BARCELONA;SANT ANDREU DE LLAVANERES;SANT ANDREU DE LLAVANERES
BARCELONA;SANT ANTONI DE VILAMAJOR;SANT ANTONI DE VILAMAJOR
BARCELONA;SANT BOI DE LLOBREGAT;SANT BOI DE LLOBREGAT
BARCELONA;SANT CELONI;SANT CELONI
BARCELONA;SANT CELONI;BATLLORIA (LA)
BARCELONA;SANT CUGAT DEL VALLES;SANT CUGAT DEL VALLES
BARCELONA;SANT CUGAT SESGARRIGUES;SANT CUGAT SESGARRIGUES
BARCELONA;SANT ESTEVE SESROVIRES;SANT ESTEVE SESROVIRES
BARCELONA;SANT ESTEVE SESROVIRES;CA N'AMAT
BARCELONA;SANT FELIU DE LLOBREGAT;SANT FELIU DE LLOBREGAT
BARCELONA;SANT FOST DE CAMPSENTELLES;SANT FOST CAMPSENTELLES
BARCELONA;SANT FRUITOS DE BAGES;SANT FRUITOS DE BAGES
BARCELONA;SANT ISCLE DE VALLALTA;SANT ISCLE DE VALLALTA
BARCELONA;SANT JOAN DE VILATORRADA;SANT JOAN DE VILATORRADA
BARCELONA;SANT JOAN DE VILATORRADA;SANT MARTI DE TORRUELLA
BARCELONA;SANT JOAN DESPI;SANT JOAN DESPI
BARCELONA;SANT JUST DESVERN;SANT JUST DESVERN
BARCELONA;SANT LLORENC D'HORTONS;URB. VINYA DEL POLLASTRE
BARCELONA;SANT MARTI D'ALBARS;SANT MARTI D'ALBARS
BARCELONA;SANT MARTI SARROCA;SANT MARTI SARROCA
BARCELONA;SANT PERE DE RIBES;SANT PERE DE RIBES
BARCELONA;SANT PERE DE RIUDEBITLLES;SANT PERE DE RIUDEBITLLES
BARCELONA;SANT PERE DE TORELLO;SANT PERE DE TORELLO
BARCELONA;SANT PERE SALLAVINERA;SANT PERE SALLAVINERA
BARCELONA;SANT POL DE MAR;SANT POL DE MAR
BARCELONA;SANT QUIRZE DE BESORA;SANT QUIRZE DE BESORA
BARCELONA;SANT QUIRZE DEL VALLES;SANT QUIRZE DEL VALLES
BARCELONA;SANT QUIRZE DEL VALLES;VALLES PARC
BARCELONA;SANT QUIRZE DEL VALLES;POBLE SEC
BARCELONA;SANT QUIRZE SAFAJA;SANT QUIRZE SAFAJA
BARCELONA;SANT SADURNI D'ANOIA;SANT SADURNI D'ANOIA
BARCELONA;SANT SALVADOR DE GUARDIOLA;SANT SALVADOR GUARDIOLA
BARCELONA;SANT VICENC DE CASTELLET;SANT VICENC DE CASTELLET
BARCELONA;SANT VICENC DE MONTALT;SANT VICENC DE MONTALT
BARCELONA;SANT VICENC DE TORELLO;SANT VICENC DE TORELLO
BARCELONA;SANT VICENC DELS HORTS;SANT VICENC DELS HORTS
BARCELONA;SANTA COLOMA DE GRAMENET;SANTA COLOMA DE GRAMENET
BARCELONA;SANTA EULALIA DE RONCANA;SANTA EULALIA DE RONCANA
BARCELONA;SANTA MARGARIDA DE MONTBUI;SANTA MARGARIDA MONTBUI
BARCELONA;SANTA MARGARIDA I ELS MONJOS;MONJOS (ELS)
BARCELONA;SANTA MARIA DE MIRALLES;SANTA MARIA DE MIRALLES
BARCELONA;SANTA MARIA DE PALAUTORDERA;SANTA MARIA DE PALAUTORDERA
BARCELONA;SANTA PERPETUA DE MOGODA;SANTA PERPETUA DE MOGODA
BARCELONA;SANTA PERPETUA DE MOGODA;SANTIGA
BARCELONA;SANTA SUSANNA;SANTA SUSANNA
BARCELONA;SANTA SUSANNA;CAN TORRENT-ALTA MARESMA-CAN GELAT
BARCELONA;SANTPEDOR;SANTPEDOR
BARCELONA;SENTMENAT;SENTMENAT
BARCELONA;SEVA;SEVA
BARCELONA;SEVA;SANT MIQUEL DE BALENYA
BARCELONA;SITGES;SITGES
BARCELONA;SUBIRATS;SUBIRATS
BARCELONA;SURIA;SURIA
BARCELONA;TAGAMANENT;TAGAMANENT
BARCELONA;TARADELL;TARADELL
BARCELONA;TEIA;TEIA CENTRE
BARCELONA;TEIA;VICTOR FONT GUAL
BARCELONA;TERRASSA;TERRASSA
BARCELONA;TONA;TONA
BARCELONA;TORDERA;TORDERA
BARCELONA;TORELLO;TORELLO
BARCELONA;TORRE DE CLARAMUNT (LA);CA L'ANTON
BARCELONA;TORRELLES DE LLOBREGAT;TORRELLES DE LLOBREGAT
BARCELONA;VACARISSES;VACARISSES
BARCELONA;VACARISSES;POLIGON INDUSTRIAL CAN TORRELLA
BARCELONA;VALLGORGUINA;VALLGORGUINA
BARCELONA;VALLIRANA;LLEDONER (EL)
BARCELONA;VALLIRANA;VALLIRANA PARC
BARCELONA;VALLROMANES;VALLROMANES
BARCELONA;VIC;VIC
BARCELONA;VILADECANS;VILADECANS
BARCELONA;VILADECAVALLS;VILADECAVALLS
BARCELONA;VILADECAVALLS;CAN TRIAS INDUSTRIAL
BARCELONA;VILAFRANCA DEL PENEDES;VILAFRANCA DEL PENEDES
BARCELONA;VILANOVA DEL VALLES;VILANOVA DEL VALLES
BARCELONA;VILANOVA I LA GELTRU;VILANOVA I LA GELTRU
BARCELONA;VILASSAR DE DALT;VILASSAR DE DALT
BARCELONA;VILASSAR DE MAR;VILASSAR DE MAR
BIZKAIA;ABADINO;ABADINO-ZELAIETA
BIZKAIA;ABANTO Y CIERVANA-ABANTO ZIERBENA;ABANTO
BIZKAIA;ALONSOTEGI;ALONSOTEGI
BIZKAIA;AMOREBIETA-ETXANO;AMOREBIETA
BIZKAIA;ARRIGORRIAGA;ARRIGORRIAGA
BIZKAIA;ARTEA;ELEJABEITIA
BIZKAIA;BAKIO;BASIGO
BIZKAIA;BALMASEDA;BALMASEDA
BIZKAIA;BARAKALDO;SAN VICENTE DE BARAKALDO
BIZKAIA;BASAURI;ARIZGOITI
BIZKAIA;BASAURI;BASAURI
BIZKAIA;BERANGO;BERANGO
BIZKAIA;BERMEO;BERMEO
BIZKAIA;BERRIZ;BERRIZ-OLAKUETA
BIZKAIA;BERRIZ;EITUA
BIZKAIA;BILBAO;BILBAO
BIZKAIA;DERIO;DERIO
BIZKAIA;DERIO;ALDEKONA (SAN ISIDRO)
BIZKAIA;DURANGO;DURANGO
BIZKAIA;ELORRIO;ELORRIO
BIZKAIA;ERANDIO;ERANDIO-GOIKOA
BIZKAIA;ETXEBARRI, ANTEIGLESIA DE SAN ESTEBAN-ETXEBARRI DONEZTEBEKO;ETXEBARRI
BIZKAIA;GALDAKAO;ERLECHES
BIZKAIA;GALDAKAO;ELEXALDE GALDAKAO
BIZKAIA;GALDAKAO;USANSOLO
BIZKAIA;GERNIKA-LUMO;GERNIKA-LUMO
BIZKAIA;GETXO;ANDRA MARI
BIZKAIA;GETXO;ALGORTA
BIZKAIA;GORDEXOLA;ZUBIETE
BIZKAIA;GORLIZ;URESARANTZE AUZOA
BIZKAIA;GUENES;SODUPE
BIZKAIA;IGORRE;IGORRE
BIZKAIA;IURRETA;IURRETA
BIZKAIA;IZURTZA;IZURZA
BIZKAIA;KARRANTZA HARANA/VALLE DE CARRANZA;CARRANZA
BIZKAIA;LARRABETZU;LARRABETZU
BIZKAIA;LEIOA;LEIOA
BIZKAIA;LEKEITIO;LEKEITIO
BIZKAIA;LEMOA;LEMOA
BIZKAIA;LOIU;ELOTXELERRI
BIZKAIA;MALLABIA;MALLABIA
BIZKAIA;MARKINA-XEMEIN;MARKINA-XEMEIN
BIZKAIA;MUNDAKA;MUNDAKA
BIZKAIA;MUNGIA;MUNGIA
BIZKAIA;MUNGIA;ATXURI
BIZKAIA;MUNGIA;BILLELA
BIZKAIA;MUNGIA;LARRAURI
BIZKAIA;MUXIKA;USPARITXA
BIZKAIA;OROZKO;OROZKO
BIZKAIA;ORTUELLA;ORTUELLA
BIZKAIA;OTXANDIO;OTXANDIO
BIZKAIA;PLENTZIA;PLENTZIA
BIZKAIA;PORTUGALETE;PORTUGALETE
BIZKAIA;SANTURTZI;SANTURTZI
BIZKAIA;SANTURTZI;BALPARDA
BIZKAIA;SESTAO;SESTAO
BIZKAIA;SOPELANA;MOREAGA
BIZKAIA;SOPUERTA;SOPUERTA
BIZKAIA;UGAO-MIRABALLES;UGAO-MIRABALLES
BIZKAIA;URDULIZ;URDULIZ
BIZKAIA;URDUNA-ORDUNA;ORDUNA
BIZKAIA;VALLE DE TRAPAGA-TRAPAGARAN;VALLE DE TRAPAGA
BIZKAIA;VALLE DE TRAPAGA-TRAPAGARAN;TRAPAGARAN
BIZKAIA;ZALLA;ZALLA
BIZKAIA;ZAMUDIO;ZAMUDIO
BIZKAIA;ZEANURI;ALTZUAGA
BIZKAIA;ZIERBENA;EL PUERTO
BURGOS;AMEYUGO;AMEYUGO
BURGOS;ARANDA DE DUERO;ARANDA DE DUERO
BURGOS;ARCOS;ARCOS
BURGOS;BALBASES (LOS);BALBASES (LOS)
BURGOS;BASCONCILLOS DEL TOZO;BASCONCILLOS DEL TOZO
BURGOS;BELORADO;BELORADO
BURGOS;BERBERANA;BERBERANA
BURGOS;BRIVIESCA;BRIVIESCA
BURGOS;BUNIEL;BUNIEL
BURGOS;BURGOS;BURGOS
BURGOS;BURGOS;VILLATORO
BURGOS;BURGOS;VILLAFRIA
BURGOS;BURGOS;VILLAYUDA O LA VENTILLA
BURGOS;CALERUEGA;CALERUEGA
BURGOS;CARCEDO DE BURGOS;CARCEDO DE BURGOS
BURGOS;CARDENAJIMENO;CARDENAJIMENO
BURGOS;CASTRILLO DE LA VEGA;CASTRILLO DE LA VEGA
BURGOS;CASTROJERIZ;CASTROJERIZ
BURGOS;CILLERUELO DE ABAJO;CILLERUELO DE ABAJO
BURGOS;CONDADO DE TREVINO;ARMENTIA
BURGOS;CONDADO DE TREVINO;TREVINO
BURGOS;ESPINOSA DE LOS MONTEROS;ESPINOSA DE LOS MONTEROS
BURGOS;ESTEPAR;ESTEPAR
BURGOS;FONTIOSO;FONTIOSO
BURGOS;FRANDOVINEZ;FRANDOVINEZ
BURGOS;FUENTECEN;FUENTECEN
BURGOS;FUENTESPINA;FUENTESPINA
BURGOS;GUMIEL DE IZAN;GUMIEL DE IZAN
BURGOS;HUERTA DE REY;HUERTA DEL REY
BURGOS;LERMA;LERMA
BURGOS;MADRIGALEJO DEL MONTE;MADRIGALEJO DEL MONTE
BURGOS;MEDINA DE POMAR;MEDINA DE POMAR
BURGOS;MELGAR DE FERNAMENTAL;MELGAR DE FERNAMENTAL
BURGOS;MERINDAD DE MONTIJA;BERCEDO
BURGOS;MERINDAD DE MONTIJA;VILLASANTE
BURGOS;MERINDAD DE RIO UBIERNA;CERNEGULA
BURGOS;MERINDAD DE SOTOSCUEVA;VALLEJO
BURGOS;MILAGROS;MILAGROS
BURGOS;MIRANDA DE EBRO;MIRANDA DE EBRO
BURGOS;OLMEDILLO DE ROA;OLMEDILLO DE ROA
BURGOS;ONA;ONA
BURGOS;OQUILLAS;OQUILLAS
BURGOS;PALACIOS DE LA SIERRA;PALACIOS DE LA SIERRA
BURGOS;PARDILLA;PARDILLA
BURGOS;PUEBLA DE ARGANZON (LA);PUEBLA DE ARGANZON (LA)
BURGOS;QUINTANAPALLA;QUINTANAPALLA
BURGOS;QUINTANAR DE LA SIERRA;QUINTANAR DE LA SIERRA
BURGOS;QUINTANILLA VIVAR;VIVAR DEL CID
BURGOS;REVILLA Y AHEDO (LA);REVILLA (LA)
BURGOS;ROA;ROA
BURGOS;RUBENA;RUBENA
BURGOS;SALAS DE LOS INFANTES;SALAS DE LOS INFANTES
BURGOS;SANTA MARIA DEL CAMPO;SANTA MARIA DEL CAMPO
BURGOS;SARRACIN;SARRACIN
BURGOS;SASAMON;OLMILLOS DE SASAMON
BURGOS;SOTRESGUDO;SOTRESGUDO
BURGOS;TRESPADERNE;TRESPADERNE
BURGOS;VADOCONDES;VADOCONDES
BURGOS;VALLE DE LOSA;QUINCOCES DE YUSO
BURGOS;VALLE DE MENA;ENTRAMBASAGUAS
BURGOS;VALLE DE MENA;SANTA CRUZ DE MENA
BURGOS;VALLE DE MENA;SANTECILLA
BURGOS;VALLE DE SEDANO;ESCALADA
BURGOS;VALLE DE TOBALINA;QUINTANA MARTIN GALINDEZ
BURGOS;VALLE DE VALDEBEZANA;CILLERUELO DE BEZANA
BURGOS;VALLE DE VALDELUCIO;FUENCALIENTE DE LUCIO
BURGOS;VILLADIEGO;VILLADIEGO
BURGOS;VILLAGONZALO PEDERNALES;VILLAGONZALO PEDERNALES
BURGOS;VILLALBILLA DE BURGOS;VILLALBILLA DE BURGOS
BURGOS;VILLALMANZO;VILLALMANZO
BURGOS;VILLANUEVA DE ARGANO;VILLANUEVA DE ARGANO
BURGOS;VILLAQUIRAN DE LOS INFANTES;VILLANUEVA DE LAS CARRETAS
BURGOS;VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA;VILLARCAYO
BURGOS;VILLAZOPEQUE;VILLAZOPEQUE
CACERES;AHIGAL;AHIGAL
CACERES;ALCANTARA;ALCANTARA
CACERES;ALCUESCAR;ALCUESCAR
CACERES;ALDEA DEL CANO;ALDEA DEL CANO
CACERES;ALDEANUEVA DEL CAMINO;ALDEANUEVA DEL CAMINO
CACERES;ALISEDA;ALISEDA
CACERES;ALMARAZ;ALMARAZ
CACERES;ALMOHARIN;ALMOHARIN
CACERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ
CACERES;ARROYOMOLINOS;ARROYOMOLINOS
CACERES;BANOS DE MONTEMAYOR;BANOS
CACERES;BARRADO;BARRADO
CACERES;BELVIS DE MONROY;BELVIS DE MONROY
CACERES;BOHONAL DE IBOR;BOHONAL DE IBOR
CACERES;BROZAS;BROZAS
CACERES;CABEZUELA DEL VALLE;CABEZUELA DEL VALLE
CACERES;CACERES;CACERES
CACERES;CACERES;VALDESALOR
CACERES;CAMINOMORISCO;CAMINOMORISCO
CACERES;CAMPO LUGAR;CAMPO LUGAR
CACERES;CAMPO LUGAR;PIZARRO
CACERES;CANAVERAL;CANAVERAL
CACERES;CASAR DE CACERES;CASAR DE CACERES
CACERES;CASAS DE DON GOMEZ;CASAS DE DON GOMEZ
CACERES;CASAS DEL CASTANAR;CASAS DEL CASTANAR
CACERES;CASTANAR DE IBOR;CASTANAR DE IBOR
CACERES;CECLAVIN;CECLAVIN
CACERES;CILLEROS;CILLEROS
CACERES;COLLADO;COLLADO
CACERES;CORIA;CORIA
CACERES;CUACOS DE YUSTE;CUACOS DE YUSTE
CACERES;DELEITOSA;DELEITOSA
CACERES;ESCURIAL;ESCURIAL
CACERES;GALISTEO;GALISTEO
CACERES;GALISTEO;ALAGON
CACERES;GARROVILLAS DE ALCONETAR;GARROVILLAS DE ALCONETAR
